107 336776
EWR IAH 1400
LGA IAH 1416
JFK MIA 1089
JFK BQN 1576
LGA ATL 762
EWR ORD 719
EWR FLL 1065
LGA IAD 229
JFK MCO 944
LGA ORD 733
JFK PBI 1028
JFK TPA 1005
JFK LAX 2475
EWR SFO 2565
LGA DFW 1389
JFK BOS 187
EWR LAS 2227
LGA FLL 1076
LGA ATL 762
EWR PBI 1023
LGA MSP 1020
LGA DTW 502
EWR MIA 1085
JFK ATL 760
EWR MIA 1085
EWR ORD 719
JFK SFO 2586
JFK RSW 1074
JFK SJU 1598
EWR ATL 746
EWR PHX 2133
LGA MIA 1096
LGA IAH 1416
EWR MSP 1008
LGA MSP 1020
JFK PHX 2153
JFK SJU 1598
EWR LAX 2454
LGA ORD 733
LGA BWI 185
EWR CLT 529
EWR IAD 212
LGA DFW 1389
LGA MCO 950
JFK BOS 187
EWR PBI 1023
EWR CLT 529
EWR FLL 1065
JFK BUF 301
LGA DEN 1620
EWR SNA 2434
JFK LAS 2248
JFK MSY 1182
LGA PBI 1035
JFK SLC 1990
JFK SFO 2586
LGA MIA 1096
LGA ORD 733
JFK MCO 944
LGA XNA 1147
EWR TPA 997
LGA FLL 1076
LGA ATL 762
JFK LAX 2475
LGA MIA 1096
JFK FLL 1069
LGA DTW 502
EWR RSW 1068
EWR SJU 1608
JFK LAX 2475
LGA ORD 733
JFK SJU 1598
JFK FLL 1069
EWR ORD 719
LGA MKE 738
JFK MCO 944
EWR PBI 1023
LGA DFW 1389
EWR SEA 2402
EWR DFW 1372
EWR DEN 1605
LGA IAH 1416
JFK SFO 2586
JFK ROC 264
LGA RSW 1080
EWR MCO 937
JFK SYR 209
JFK SFO 2586
LGA ORD 733
EWR IAH 1400
LGA TPA 1010
JFK LAX 2475
JFK SRQ 1041
JFK SEA 2422
JFK SFO 2586
EWR SFO 2565
EWR ORD 719
LGA MCO 950
LGA DEN 1620
LGA CLT 544
LGA MIA 1096
LGA ATL 762
LGA DEN 1620
EWR MCO 937
JFK MIA 1089
LGA MSP 1020
JFK RDU 427
EWR BOS 200
JFK BOS 187
JFK SFO 2586
JFK MCO 944
JFK CLT 541
JFK FLL 1069
LGA CMH 479
JFK ATL 760
EWR JAX 820
JFK MSP 1029
LGA PBI 1035
EWR CHS 628
LGA CLT 544
EWR CLT 529
EWR MEM 946
LGA DEN 1620
LGA ATL 762
JFK PIT 340
JFK SJU 1598
JFK BOS 187
JFK SJU 1598
JFK SAN 2446
JFK DCA 213
LGA CLE 419
JFK CLT 541
EWR DFW 1372
LGA STL 888
JFK JAX 828
JFK MIA 1089
EWR SFO 2565
JFK ORD 740
EWR LAX 2454
JFK LAX 2475
EWR MCO 937
LGA ORD 733
LGA ATL 762
EWR MYR 550
LGA RDU 431
LGA DEN 1620
LGA DFW 1389
LGA CLE 419
JFK SJU 1598
JFK DTW 509
EWR RSW 1068
JFK BWI 184
EWR JAC 1874
EWR RDU 416
EWR DTW 488
EWR SAN 2425
EWR MDW 711
JFK TPA 1005
LGA ATL 762
JFK LAX 2475
LGA MIA 1096
EWR PBI 1023
JFK HNL 4983
LGA DTW 502
EWR ATL 746
EWR SEA 2402
LGA DTW 502
LGA MCO 950
JFK LAX 2475
EWR FLL 1065
EWR ORD 719
LGA BNA 764
EWR MIA 1085
JFK AUS 1521
EWR DEN 1605
JFK BTV 266
LGA PHL 96
EWR IAH 1400
JFK STT 1623
JFK MIA 1089
EWR MIA 1085
EWR STT 1634
EWR DFW 1372
EWR CLE 404
LGA DFW 1389
JFK MCO 944
JFK RDU 427
JFK IAD 228
LGA CLT 544
JFK LAX 2475
JFK BOS 187
EWR SJU 1608
JFK PBI 1028
EWR EGE 1726
LGA RSW 1080
EWR DCA 199
EWR DEN 1605
EWR TPA 997
LGA FLL 1076
LGA ORD 733
JFK LAS 2248
JFK BUF 301
JFK FLL 1069
LGA MDW 725
LGA TPA 1010
LGA SRQ 1047
LGA PBI 1035
LGA MKE 738
LGA ORD 733
LGA ATL 762
JFK LAX 2475
EWR AVL 583
JFK PWM 273
EWR STL 872
LGA BNA 764
EWR LAX 2454
EWR PHX 2133
LGA ATL 762
EWR BOS 200
LGA FLL 1076
LGA CLT 544
EWR FLL 1065
JFK PHX 2153
EWR DEN 1605
EWR ORD 719
LGA MSP 1020
EWR CLT 529
JFK CLT 541
LGA IAD 229
JFK LAS 2248
LGA ATL 762
EWR BUF 282
LGA RDU 431
LGA DFW 1389
EWR MCO 937
JFK LAX 2475
LGA IAH 1416
JFK SFO 2586
EWR CHS 628
JFK SFO 2586
EWR FLL 1065
EWR IND 645
EWR BOS 200
LGA ORD 733
EWR ORD 719
JFK MCO 944
EWR MKE 725
EWR IAH 1400
EWR RSW 1068
LGA DFW 1389
JFK SLC 1990
LGA DTW 502
LGA FLL 1076
LGA ATL 762
EWR PWM 284
LGA TPA 1010
LGA DCA 214
LGA BWI 185
JFK DCA 213
EWR LAS 2227
EWR PBI 1023
LGA MIA 1096
EWR SFO 2565
LGA CMH 479
LGA MIA 1096
JFK BTV 266
JFK SFO 2586
LGA DTW 502
LGA IAH 1416
EWR SAV 708
LGA STL 888
LGA DEN 1620
JFK SFO 2586
LGA RSW 1080
LGA CLT 544
EWR RDU 416
JFK LAX 2475
EWR PBI 1023
EWR TPA 997
LGA ORD 733
LGA MSP 1020
LGA CLE 419
JFK RSW 1074
JFK LAX 2475
EWR MIA 1085
LGA PBI 1035
EWR SNA 2434
EWR ATL 746
LGA CAK 397
EWR SYR 195
EWR CMH 463
JFK FLL 1069
JFK LAX 2475
EWR BOS 200
LGA ATL 762
JFK LAX 2475
LGA FLL 1076
LGA ATL 762
JFK DCA 213
EWR ROC 246
LGA RDU 431
EWR MCO 937
LGA DFW 1389
EWR BWI 169
LGA ORD 733
JFK CLT 541
EWR BTV 266
EWR SJU 1608
EWR ATL 746
JFK SFO 2586
EWR MCO 937
EWR IAH 1400
EWR BUF 282
JFK HOU 1428
EWR CLT 529
EWR ORD 719
EWR SFO 2565
LGA STL 888
LGA MSY 1183
EWR MDW 711
EWR JAX 820
JFK TPA 1005
EWR PHX 2133
EWR DTW 488
LGA DTW 502
EWR FLL 1065
JFK BOS 187
LGA MKE 738
EWR DTW 488
LGA MIA 1096
JFK RDU 427
EWR DCA 199
JFK SLC 1990
JFK SJU 1598
JFK BUF 301
LGA IAH 1416
JFK FLL 1069
LGA DFW 1389
EWR DEN 1605
LGA ATL 762
LGA DEN 1620
LGA BNA 764
LGA CLT 544
LGA BOS 184
JFK LGB 2465
LGA CMH 479
LGA ATL 762
LGA ORD 733
EWR DFW 1372
LGA MSP 1020
EWR DFW 1372
JFK BOS 187
EWR MIA 1085
EWR DAY 533
JFK ROC 264
LGA DTW 502
JFK MIA 1089
EWR HOU 1411
JFK PBI 1028
EWR CLT 529
EWR ALB 143
EWR BWI 169
LGA RDU 431
EWR BDL 116
LGA MCO 950
EWR LAX 2454
EWR SLC 1969
JFK ATL 760
JFK LAX 2475
EWR FLL 1065
EWR IND 645
JFK JAX 828
EWR PIT 319
JFK LAX 2475
LGA MIA 1096
LGA SRQ 1047
JFK LAX 2475
EWR STL 872
LGA DFW 1389
EWR HNL 4963
EWR PHX 2133
EWR BUF 282
JFK PWM 273
EWR MHT 209
EWR MSN 799
EWR CHS 628
JFK BOS 187
EWR GSO 445
JFK MCO 944
LGA MDW 725
LGA CLT 544
EWR ORD 719
LGA ORD 733
EWR IAH 1400
EWR PHX 2133
LGA MEM 963
LGA ATL 762
EWR MEM 946
LGA ATL 762
EWR FLL 1065
EWR ORD 719
EWR SEA 2402
EWR ORD 719
JFK BOS 187
JFK SEA 2422
LGA RSW 1080
LGA CLE 419
JFK SFO 2586
LGA IAD 229
EWR CVG 569
EWR ATL 746
JFK BUR 2465
EWR PBI 1023
LGA IAH 1416
LGA PBI 1035
EWR CLE 404
LGA MSP 1020
JFK SFO 2586
JFK DCA 213
LGA DTW 502
JFK MCO 944
EWR IAD 212
LGA ORD 733
LGA ATL 762
JFK MIA 1089
LGA CLT 544
JFK RDU 427
JFK IAD 228
JFK BUF 301
JFK FLL 1069
JFK CLE 425
LGA DCA 214
EWR PWM 284
JFK SYR 209
JFK LAX 2475
JFK MSY 1182
JFK PIT 340
LGA PBI 1035
LGA ORD 733
EWR AUS 1504
EWR RSW 1068
EWR CLT 529
LGA CMH 479
EWR CMH 463
EWR TPA 997
LGA FLL 1076
EWR FLL 1065
EWR RIC 277
LGA RDU 431
LGA DFW 1389
LGA DEN 1620
JFK ROC 264
JFK IND 665
EWR MCO 937
EWR TPA 997
LGA ATL 762
LGA BUF 292
JFK MCO 944
EWR CLT 529
JFK PIT 340
JFK SRQ 1041
EWR SFO 2565
EWR DFW 1372
JFK DCA 213
EWR MCO 937
LGA MCO 950
JFK CMH 483
JFK LAX 2475
EWR LAX 2454
JFK PBI 1028
EWR MCO 937
LGA XNA 1147
EWR MDW 711
JFK FLL 1069
JFK BUF 301
JFK RSW 1074
EWR IAH 1400
EWR STL 872
LGA STL 888
EWR ORD 719
LGA CLT 544
JFK BWI 184
EWR DCA 199
EWR GSP 594
EWR DEN 1605
EWR GRR 605
LGA MKE 738
JFK MCO 944
JFK SFO 2586
JFK LAX 2475
EWR LAS 2227
JFK SJU 1598
JFK SAN 2446
JFK SLC 1990
LGA CLE 419
JFK ORD 740
EWR ATL 746
LGA MSP 1020
EWR MCI 1092
EWR MIA 1085
JFK IND 665
LGA IAD 229
LGA ATL 762
JFK BNA 765
JFK DFW 1391
JFK BOS 187
LGA ATL 762
JFK CVG 589
LGA PIT 335
JFK RSW 1074
LGA ORD 733
EWR BNA 748
JFK IAD 228
EWR FLL 1065
JFK LAS 2248
JFK PHL 94
EWR ORD 719
LGA MCI 1107
EWR BUF 282
JFK ORD 740
EWR DEN 1605
LGA RDU 431
EWR FLL 1065
LGA CLT 544
LGA ORD 733
JFK SYR 209
EWR BOS 200
LGA DFW 1389
LGA MIA 1096
JFK MCO 944
JFK FLL 1069
LGA MSP 1020
LGA DEN 1620
EWR PHX 2133
EWR PIT 319
LGA ATL 762
EWR IAH 1400
JFK ATL 760
JFK PHX 2153
JFK SJU 1598
JFK LAX 2475
JFK DTW 509
JFK TPA 1005
JFK SFO 2586
EWR IAD 212
JFK DEN 1626
EWR CVG 569
JFK PBI 1028
EWR DCA 199
EWR PHX 2133
EWR SAN 2425
LGA STL 888
EWR ORD 719
EWR DEN 1605
EWR CLE 404
EWR BOS 200
